"MovieID","MovieTitle","RecommendationID","RecommendationTitle"
35,"Carrington (1995)",690,"When Harry Met Sally... (1989)"
35,"Carrington (1995)",776,"Fifth Element, The (1997)"
35,"Carrington (1995)",1137,"Shakespeare in Love (1998)"
35,"Carrington (1995)",1211,"Matrix, The (1999)"
36,"Dead Man Walking (1995)",177,"Pulp Fiction (1994)"
36,"Dead Man Walking (1995)",214,"Forrest Gump (1994)"
36,"Dead Man Walking (1995)",1211,"Matrix, The (1999)"
39,"Clueless (1995)",1211,"Matrix, The (1999)"
41,"Richard III (1995)",1317,"American Beauty (1999)"
42,"Dead Presidents (1995)",41,"Seven (a.k.a. Se7en) (1995)"
42,"Dead Presidents (1995)",43,"Usual Suspects, The (1995)"
42,"Dead Presidents (1995)",158,"Star Wars: Episode IV - A New Hope (1977)"
42,"Dead Presidents (1995)",393,"Independence Day (a.k.a. ID4) (1996)"
42,"Dead Presidents (1995)",585,"Star Wars: Episode V - The Empire Strikes Back (1980)"
42,"Dead Presidents (1995)",587,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)"
42,"Dead Presidents (1995)",655,"Back to the Future (1985)"
42,"Dead Presidents (1995)",830,"Truman Show, The (1998)"
42,"Dead Presidents (1995)",965,"Saving Private Ryan (1998)"
42,"Dead Presidents (1995)",1356,"Fight Club (1999)"
42,"Dead Presidents (1995)",1855,"Lord of the Rings: The Fellowship of the Ring, The (2001)"
42,"Dead Presidents (1995)",2013,"Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
43,"Restoration (1995)",43,"Usual Suspects, The (1995)"
43,"Restoration (1995)",269,"Fugitive, The (1993)"
43,"Restoration (1995)",443,"Casablanca (1942)"
43,"Restoration (1995)",586,"Princess Bride, The (1987)"
43,"Restoration (1995)",787,"Men in Black (a.k.a. MIB) (1997)"
43,"Restoration (1995)",1211,"Matrix, The (1999)"
44,"Mortal Kombat (1995)",1211,"Matrix, The (1999)"
45,"To Die For (1995)",1211,"Matrix, The (1999)"
46,"How to Make an American Quilt (1995)",1,"Toy Story (1995)"
46,"How to Make an American Quilt (1995)",90,"Apollo 13 (1995)"
46,"How to Make an American Quilt (1995)",846,"Titanic (1997)"
46,"How to Make an American Quilt (1995)",1912,"Minority Report (2002)"
46,"How to Make an American Quilt (1995)",2013,"Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
47,"Seven (a.k.a. Se7en) (1995)",1211,"Matrix, The (1999)"
48,"Pocahontas (1995)",1211,"Matrix, The (1999)"
50,"Usual Suspects, The (1995)",1211,"Matrix, The (1999)"
52,"Mighty Aphrodite (1995)",344,"Fargo (1996)"
57,"Home for the Holidays (1995)",177,"Pulp Fiction (1994)"
57,"Home for the Holidays (1995)",214,"Forrest Gump (1994)"
57,"Home for the Holidays (1995)",220,"Lion King, The (1994)"
57,"Home for the Holidays (1995)",277,"Jurassic Park (1993)"
57,"Home for the Holidays (1995)",473,"It's a Wonderful Life (1946)"
57,"Home for the Holidays (1995)",589,"Aliens (1986)"
57,"Home for the Holidays (1995)",602,"Alien (1979)"
57,"Home for the Holidays (1995)",607,"Psycho (1960)"
57,"Home for the Holidays (1995)",650,"Groundhog Day (1993)"
57,"Home for the Holidays (1995)",655,"Back to the Future (1985)"
57,"Home for the Holidays (1995)",830,"Truman Show, The (1998)"
57,"Home for the Holidays (1995)",965,"Saving Private Ryan (1998)"
57,"Home for the Holidays (1995)",1044,"Beetlejuice (1988)"
57,"Home for the Holidays (1995)",1211,"Matrix, The (1999)"
57,"Home for the Holidays (1995)",1339,"Ferris Bueller's Day Off (1986)"
57,"Home for the Holidays (1995)",1365,"Who Framed Roger Rabbit? (1988)"
57,"Home for the Holidays (1995)",1754,"Shrek (2001)"
57,"Home for the Holidays (1995)",1960,"Lord of the Rings: The Two Towers, The (2002)"
57,"Home for the Holidays (1995)",2002,"Finding Nemo (2003)"
57,"Home for the Holidays (1995)",2163,"Incredibles, The (2004)"
58,"Postman, The (Postino, Il) (1994)",1211,"Matrix, The (1999)"
60,"Indian in the Cupboard, The (1995)",1,"Toy Story (1995)"
60,"Indian in the Cupboard, The (1995)",585,"Star Wars: Episode V - The Empire Strikes Back (1980)"
60,"Indian in the Cupboard, The (1995)",1211,"Matrix, The (1999)"
61,"Eye for an Eye (1996)",220,"Lion King, The (1994)"
61,"Eye for an Eye (1996)",332,"Aladdin (1992)"
61,"Eye for an Eye (1996)",655,"Back to the Future (1985)"
61,"Eye for an Eye (1996)",1286,"Sixth Sense, The (1999)"
62,"Mr. Holland's Opus (1995)",214,"Forrest Gump (1994)"
63,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)",177,"Pulp Fiction (1994)"
63,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)",1356,"Fight Club (1999)"
64,"Two if by Sea (1996)",1,"Toy Story (1995)"
64,"Two if by Sea (1996)",190,"Shawshank Redemption, The (1994)"
64,"Two if by Sea (1996)",202,"While You Were Sleeping (1995)"
64,"Two if by Sea (1996)",214,"Forrest Gump (1994)"
64,"Two if by Sea (1996)",393,"Independence Day (a.k.a. ID4) (1996)"
64,"Two if by Sea (1996)",787,"Men in Black (a.k.a. MIB) (1997)"
64,"Two if by Sea (1996)",830,"Truman Show, The (1998)"
64,"Two if by Sea (1996)",1211,"Matrix, The (1999)"
64,"Two if by Sea (1996)",1356,"Fight Club (1999)"
64,"Two if by Sea (1996)",2002,"Finding Nemo (2003)"
64,"Two if by Sea (1996)",2163,"Incredibles, The (2004)"
65,"Bio-Dome (1996)",1356,"Fight Club (1999)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",1,"Toy Story (1995)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",177,"Pulp Fiction (1994)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",214,"Forrest Gump (1994)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",231,"Speed (1994)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",277,"Jurassic Park (1993)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",288,"Mrs. Doubtfire (1993)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",333,"Terminator 2: Judgment Day (1991)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",335,"Batman (1989)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",393,"Independence Day (a.k.a. ID4) (1996)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",514,"Die Hard (1988)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",563,"Monty Python and the Holy Grail (1975)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",625,"Terminator, The (1984)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",650,"Groundhog Day (1993)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",767,"Liar Liar (1997)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",787,"Men in Black (a.k.a. MIB) (1997)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",830,"Truman Show, The (1998)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",901,"Armageddon (1998)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",965,"Saving Private Ryan (1998)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",1044,"Beetlejuice (1988)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",1211,"Matrix, The (1999)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",1337,"Total Recall (1990)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",1356,"Fight Club (1999)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",1371,"Being John Malkovich (1999)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",1847,"Ocean's Eleven (2001)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",1960,"Lord of the Rings: The Two Towers, The (2002)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",1999,"Matrix Reloaded, The (2003)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",2045,"Kill Bill: Vol. 1 (2003)"
66,"Lawnmower Man 2: Beyond Cyberspace (1996)",2076,"Lord of the Rings: The Return of the King, The (2003)"
69,"Friday (1995)",1211,"Matrix, The (1999)"
69,"Friday (1995)",1356,"Fight Club (1999)"
70,"From Dusk Till Dawn (1996)",1211,"Matrix, The (1999)"
73,"Misérables, Les (1995)",676,"Indiana Jones and the Last Crusade (1989)"
73,"Misérables, Les (1995)",1960,"Lord of the Rings: The Two Towers, The (2002)"
74,"Bed of Roses (1996)",1,"Toy Story (1995)"
74,"Bed of Roses (1996)",77,"Braveheart (1995)"
74,"Bed of Roses (1996)",90,"Apollo 13 (1995)"
74,"Bed of Roses (1996)",214,"Forrest Gump (1994)"
74,"Bed of Roses (1996)",277,"Jurassic Park (1993)"
74,"Bed of Roses (1996)",332,"Aladdin (1992)"
74,"Bed of Roses (1996)",340,"Pretty Woman (1990)"
74,"Bed of Roses (1996)",393,"Independence Day (a.k.a. ID4) (1996)"
74,"Bed of Roses (1996)",545,"E.T. the Extra-Terrestrial (1982)"
74,"Bed of Roses (1996)",586,"Princess Bride, The (1987)"
74,"Bed of Roses (1996)",650,"Groundhog Day (1993)"
74,"Bed of Roses (1996)",655,"Back to the Future (1985)"
74,"Bed of Roses (1996)",735,"Jerry Maguire (1996)"
74,"Bed of Roses (1996)",780,"Lost World: Jurassic Park, The (1997)"
74,"Bed of Roses (1996)",787,"Men in Black (a.k.a. MIB) (1997)"
74,"Bed of Roses (1996)",1211,"Matrix, The (1999)"
74,"Bed of Roses (1996)",1228,"Star Wars: Episode I - The Phantom Menace (1999)"
74,"Bed of Roses (1996)",1317,"American Beauty (1999)"
74,"Bed of Roses (1996)",1836,"Monsters, Inc. (2001)"
74,"Bed of Roses (1996)",1901,"Spider-Man (2002)"
74,"Bed of Roses (1996)",1912,"Minority Report (2002)"
74,"Bed of Roses (1996)",2137,"Spider-Man 2 (2004)"
76,"Screamers (1995)",30,"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)"
76,"Screamers (1995)",333,"Terminator 2: Judgment Day (1991)"
76,"Screamers (1995)",393,"Independence Day (a.k.a. ID4) (1996)"
76,"Screamers (1995)",776,"Fifth Element, The (1997)"
76,"Screamers (1995)",1211,"Matrix, The (1999)"
76,"Screamers (1995)",1356,"Fight Club (1999)"
79,"Juror, The (1996)",177,"Pulp Fiction (1994)"
79,"Juror, The (1996)",214,"Forrest Gump (1994)"
79,"Juror, The (1996)",336,"Silence of the Lambs, The (1991)"
81,"Things to Do in Denver When You're Dead (1995)",177,"Pulp Fiction (1994)"
81,"Things to Do in Denver When You're Dead (1995)",214,"Forrest Gump (1994)"
81,"Things to Do in Denver When You're Dead (1995)",333,"Terminator 2: Judgment Day (1991)"
81,"Things to Do in Denver When You're Dead (1995)",514,"Die Hard (1988)"
81,"Things to Do in Denver When You're Dead (1995)",655,"Back to the Future (1985)"
82,"Antonia's Line (Antonia) (1995)",344,"Fargo (1996)"
82,"Antonia's Line (Antonia) (1995)",1211,"Matrix, The (1999)"
85,"Angels and Insects (1995)",932,"Breakfast Club, The (1985)"
85,"Angels and Insects (1995)",1286,"Sixth Sense, The (1999)"
85,"Angels and Insects (1995)",1317,"American Beauty (1999)"
86,"White Squall (1996)",190,"Shawshank Redemption, The (1994)"
86,"White Squall (1996)",1211,"Matrix, The (1999)"
86,"White Squall (1996)",2013,"Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
88,"Black Sheep (1996)",1211,"Matrix, The (1999)"
89,"Nick of Time (1995)",655,"Back to the Future (1985)"
92,"Mary Reilly (1996)",214,"Forrest Gump (1994)"
92,"Mary Reilly (1996)",223,"Mask, The (1994)"
92,"Mary Reilly (1996)",643,"Shining, The (1980)"
92,"Mary Reilly (1996)",840,"Good Will Hunting (1997)"
92,"Mary Reilly (1996)",846,"Titanic (1997)"
92,"Mary Reilly (1996)",1211,"Matrix, The (1999)"
92,"Mary Reilly (1996)",1260,"Eyes Wide Shut (1999)"
92,"Mary Reilly (1996)",1356,"Fight Club (1999)"
92,"Mary Reilly (1996)",1403,"Sleepy Hollow (1999)"
92,"Mary Reilly (1996)",1813,"Others, The (2001)"
92,"Mary Reilly (1996)",1855,"Lord of the Rings: The Fellowship of the Ring, The (2001)"
92,"Mary Reilly (1996)",2013,"Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
92,"Mary Reilly (1996)",2031,"Lost in Translation (2003)"
92,"Mary Reilly (1996)",2050,"Matrix Revolutions, The (2003)"
92,"Mary Reilly (1996)",2073,"Big Fish (2003)"
93,"Vampire in Brooklyn (1995)",2013,"Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
94,"Beautiful Girls (1996)",177,"Pulp Fiction (1994)"
94,"Beautiful Girls (1996)",214,"Forrest Gump (1994)"
94,"Beautiful Girls (1996)",932,"Breakfast Club, The (1985)"
95,"Broken Arrow (1996)",1211,"Matrix, The (1999)"
97,"Hate (Haine, La) (1995)",177,"Pulp Fiction (1994)"
97,"Hate (Haine, La) (1995)",1211,"Matrix, The (1999)"
100,"City Hall (1996)",177,"Pulp Fiction (1994)"
101,"Bottle Rocket (1996)",177,"Pulp Fiction (1994)"
102,"Mr. Wrong (1996)",90,"Apollo 13 (1995)"
102,"Mr. Wrong (1996)",177,"Pulp Fiction (1994)"
102,"Mr. Wrong (1996)",190,"Shawshank Redemption, The (1994)"
102,"Mr. Wrong (1996)",277,"Jurassic Park (1993)"
102,"Mr. Wrong (1996)",393,"Independence Day (a.k.a. ID4) (1996)"
102,"Mr. Wrong (1996)",449,"Wizard of Oz, The (1939)"
102,"Mr. Wrong (1996)",563,"Monty Python and the Holy Grail (1975)"
102,"Mr. Wrong (1996)",586,"Princess Bride, The (1987)"
102,"Mr. Wrong (1996)",650,"Groundhog Day (1993)"
102,"Mr. Wrong (1996)",655,"Back to the Future (1985)"
102,"Mr. Wrong (1996)",736,"Raising Arizona (1987)"
102,"Mr. Wrong (1996)",787,"Men in Black (a.k.a. MIB) (1997)"
102,"Mr. Wrong (1996)",846,"Titanic (1997)"
102,"Mr. Wrong (1996)",1075,"Edward Scissorhands (1990)"
102,"Mr. Wrong (1996)",1136,"Rushmore (1998)"
102,"Mr. Wrong (1996)",1185,"Office Space (1999)"
102,"Mr. Wrong (1996)",1211,"Matrix, The (1999)"
102,"Mr. Wrong (1996)",1244,"Austin Powers: The Spy Who Shagged Me (1999)"
102,"Mr. Wrong (1996)",1286,"Sixth Sense, The (1999)"
102,"Mr. Wrong (1996)",1294,"Airplane! (1980)"
102,"Mr. Wrong (1996)",1317,"American Beauty (1999)"
102,"Mr. Wrong (1996)",1339,"Ferris Bueller's Day Off (1986)"
102,"Mr. Wrong (1996)",1371,"Being John Malkovich (1999)"
102,"Mr. Wrong (1996)",1754,"Shrek (2001)"
102,"Mr. Wrong (1996)",1967,"Catch Me If You Can (2002)"
102,"Mr. Wrong (1996)",2013,"Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
102,"Mr. Wrong (1996)",2031,"Lost in Translation (2003)"
102,"Mr. Wrong (1996)",2097,"Eternal Sunshine of the Spotless Mind (2004)"
102,"Mr. Wrong (1996)",2191,"Life Aquatic with Steve Zissou, The (2004)"
102,"Mr. Wrong (1996)",2271,"Little Miss Sunshine (2006)"
102,"Mr. Wrong (1996)",2352,"Juno (2007)"
104,"Happy Gilmore (1996)",1211,"Matrix, The (1999)"
105,"Bridges of Madison County, The (1995)",214,"Forrest Gump (1994)"
107,"Muppet Treasure Island (1996)",585,"Star Wars: Episode V - The Empire Strikes Back (1980)"
107,"Muppet Treasure Island (1996)",1211,"Matrix, The (1999)"
110,"Braveheart (1995)",1211,"Matrix, The (1999)"
111,"Taxi Driver (1976)",177,"Pulp Fiction (1994)"
112,"Rumble in the Bronx (Hont faan kui) (1995)",1211,"Matrix, The (1999)"
122,"Boomerang (1992)",177,"Pulp Fiction (1994)"
122,"Boomerang (1992)",587,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)"
122,"Boomerang (1992)",655,"Back to the Future (1985)"
123,"Chungking Express (Chung Hing sam lam) (1994)",177,"Pulp Fiction (1994)"
125,"Flirting With Disaster (1996)",1,"Toy Story (1995)"
125,"Flirting With Disaster (1996)",43,"Usual Suspects, The (1995)"
125,"Flirting With Disaster (1996)",177,"Pulp Fiction (1994)"
125,"Flirting With Disaster (1996)",1211,"Matrix, The (1999)"
125,"Flirting With Disaster (1996)",1317,"American Beauty (1999)"
125,"Flirting With Disaster (1996)",1356,"Fight Club (1999)"
125,"Flirting With Disaster (1996)",1371,"Being John Malkovich (1999)"
132,"Jade (1995)",41,"Seven (a.k.a. Se7en) (1995)"
132,"Jade (1995)",177,"Pulp Fiction (1994)"
132,"Jade (1995)",190,"Shawshank Redemption, The (1994)"
132,"Jade (1995)",214,"Forrest Gump (1994)"
132,"Jade (1995)",277,"Jurassic Park (1993)"
132,"Jade (1995)",333,"Terminator 2: Judgment Day (1991)"
132,"Jade (1995)",336,"Silence of the Lambs, The (1991)"
132,"Jade (1995)",563,"Monty Python and the Holy Grail (1975)"
132,"Jade (1995)",583,"One Flew Over the Cuckoo's Nest (1975)"
132,"Jade (1995)",585,"Star Wars: Episode V - The Empire Strikes Back (1980)"
132,"Jade (1995)",587,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)"
132,"Jade (1995)",598,"Star Wars: Episode VI - Return of the Jedi (1983)"
132,"Jade (1995)",601,"Goodfellas (1990)"
132,"Jade (1995)",625,"Terminator, The (1984)"
132,"Jade (1995)",643,"Shining, The (1980)"
132,"Jade (1995)",650,"Groundhog Day (1993)"
132,"Jade (1995)",655,"Back to the Future (1985)"
132,"Jade (1995)",676,"Indiana Jones and the Last Crusade (1989)"
132,"Jade (1995)",925,"Rain Man (1988)"
132,"Jade (1995)",932,"Breakfast Club, The (1985)"
132,"Jade (1995)",1211,"Matrix, The (1999)"
132,"Jade (1995)",1754,"Shrek (2001)"
132,"Jade (1995)",1901,"Spider-Man (2002)"
132,"Jade (1995)",2013,"Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
135,"Down Periscope (1996)",214,"Forrest Gump (1994)"
135,"Down Periscope (1996)",655,"Back to the Future (1985)"
140,"Up Close and Personal (1996)",1,"Toy Story (1995)"
140,"Up Close and Personal (1996)",10,"American President, The (1995)"
140,"Up Close and Personal (1996)",90,"Apollo 13 (1995)"
140,"Up Close and Personal (1996)",177,"Pulp Fiction (1994)"
140,"Up Close and Personal (1996)",190,"Shawshank Redemption, The (1994)"
140,"Up Close and Personal (1996)",214,"Forrest Gump (1994)"
140,"Up Close and Personal (1996)",260,"Dave (1993)"
140,"Up Close and Personal (1996)",269,"Fugitive, The (1993)"
140,"Up Close and Personal (1996)",288,"Mrs. Doubtfire (1993)"
140,"Up Close and Personal (1996)",303,"Schindler's List (1993)"
140,"Up Close and Personal (1996)",312,"Sleepless in Seattle (1993)"
140,"Up Close and Personal (1996)",334,"Dances with Wolves (1990)"
140,"Up Close and Personal (1996)",335,"Batman (1989)"
140,"Up Close and Personal (1996)",336,"Silence of the Lambs, The (1991)"
140,"Up Close and Personal (1996)",340,"Pretty Woman (1990)"
140,"Up Close and Personal (1996)",393,"Independence Day (a.k.a. ID4) (1996)"
140,"Up Close and Personal (1996)",423,"Godfather, The (1972)"
140,"Up Close and Personal (1996)",545,"E.T. the Extra-Terrestrial (1982)"
140,"Up Close and Personal (1996)",548,"Top Gun (1986)"
140,"Up Close and Personal (1996)",587,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)"
140,"Up Close and Personal (1996)",650,"Groundhog Day (1993)"
140,"Up Close and Personal (1996)",655,"Back to the Future (1985)"
140,"Up Close and Personal (1996)",735,"Jerry Maguire (1996)"
140,"Up Close and Personal (1996)",787,"Men in Black (a.k.a. MIB) (1997)"
140,"Up Close and Personal (1996)",805,"L.A. Confidential (1997)"
140,"Up Close and Personal (1996)",905,"There's Something About Mary (1998)"
140,"Up Close and Personal (1996)",925,"Rain Man (1988)"
140,"Up Close and Personal (1996)",965,"Saving Private Ryan (1998)"
140,"Up Close and Personal (1996)",1081,"My Cousin Vinny (1992)"
140,"Up Close and Personal (1996)",1211,"Matrix, The (1999)"
140,"Up Close and Personal (1996)",1262,"Ghostbusters (a.k.a. Ghost Busters) (1984)"
140,"Up Close and Personal (1996)",1299,"Big (1988)"
140,"Up Close and Personal (1996)",1339,"Ferris Bueller's Day Off (1986)"
140,"Up Close and Personal (1996)",1663,"Meet the Parents (2000)"
140,"Up Close and Personal (1996)",1967,"Catch Me If You Can (2002)"
140,"Up Close and Personal (1996)",2097,"Eternal Sunshine of the Spotless Mind (2004)"
141,"Birdcage, The (1996)",1211,"Matrix, The (1999)"
144,"Brothers McMullen, The (1995)",1317,"American Beauty (1999)"
145,"Bad Boys (1995)",1211,"Matrix, The (1999)"
147,"Basketball Diaries, The (1995)",214,"Forrest Gump (1994)"
147,"Basketball Diaries, The (1995)",1211,"Matrix, The (1999)"
147,"Basketball Diaries, The (1995)",1356,"Fight Club (1999)"
147,"Basketball Diaries, The (1995)",1857,"Beautiful Mind, A (2001)"
147,"Basketball Diaries, The (1995)",2013,"Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
150,"Apollo 13 (1995)",214,"Forrest Gump (1994)"
151,"Rob Roy (1995)",214,"Forrest Gump (1994)"
151,"Rob Roy (1995)",1211,"Matrix, The (1999)"
153,"Batman Forever (1995)",1211,"Matrix, The (1999)"
154,"Beauty of the Day (Belle de jour) (1967)",158,"Star Wars: Episode IV - A New Hope (1977)"
154,"Beauty of the Day (Belle de jour) (1967)",177,"Pulp Fiction (1994)"
154,"Beauty of the Day (Belle de jour) (1967)",344,"Fargo (1996)"
154,"Beauty of the Day (Belle de jour) (1967)",443,"Casablanca (1942)"
156,"Blue in the Face (1995)",177,"Pulp Fiction (1994)"
156,"Blue in the Face (1995)",344,"Fargo (1996)"
156,"Blue in the Face (1995)",387,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)"
156,"Blue in the Face (1995)",392,"Trainspotting (1996)"
156,"Blue in the Face (1995)",454,"2001: A Space Odyssey (1968)"
156,"Blue in the Face (1995)",613,"Amadeus (1984)"
156,"Blue in the Face (1995)",840,"Good Will Hunting (1997)"
156,"Blue in the Face (1995)",1185,"Office Space (1999)"
156,"Blue in the Face (1995)",1317,"American Beauty (1999)"
156,"Blue in the Face (1995)",2097,"Eternal Sunshine of the Spotless Mind (2004)"
157,"Canadian Bacon (1995)",1211,"Matrix, The (1999)"
158,"Casper (1995)",1211,"Matrix, The (1999)"
159,"Clockers (1995)",336,"Silence of the Lambs, The (1991)"
159,"Clockers (1995)",344,"Fargo (1996)"
159,"Clockers (1995)",587,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)"
159,"Clockers (1995)",650,"Groundhog Day (1993)"
160,"Congo (1995)",655,"Back to the Future (1985)"
161,"Crimson Tide (1995)",1211,"Matrix, The (1999)"
161,"Crimson Tide (1995)",1855,"Lord of the Rings: The Fellowship of the Ring, The (2001)"
162,"Crumb (1994)",177,"Pulp Fiction (1994)"
163,"Desperado (1995)",1211,"Matrix, The (1999)"
164,"Devil in a Blue Dress (1995)",177,"Pulp Fiction (1994)"
165,"Die Hard: With a Vengeance (1995)",1211,"Matrix, The (1999)"
168,"First Knight (1995)",214,"Forrest Gump (1994)"
168,"First Knight (1995)",1211,"Matrix, The (1999)"
169,"Free Willy 2: The Adventure Home (1995)",1211,"Matrix, The (1999)"
170,"Hackers (1995)",1211,"Matrix, The (1999)"
172,"Johnny Mnemonic (1995)",1211,"Matrix, The (1999)"
173,"Judge Dredd (1995)",1211,"Matrix, The (1999)"
174,"Jury Duty (1995)",177,"Pulp Fiction (1994)"
174,"Jury Duty (1995)",205,"Ace Ventura: Pet Detective (1994)"
174,"Jury Duty (1995)",214,"Forrest Gump (1994)"
174,"Jury Duty (1995)",231,"Speed (1994)"
174,"Jury Duty (1995)",288,"Mrs. Doubtfire (1993)"
174,"Jury Duty (1995)",330,"Home Alone (1990)"
174,"Jury Duty (1995)",336,"Silence of the Lambs, The (1991)"
174,"Jury Duty (1995)",393,"Independence Day (a.k.a. ID4) (1996)"
174,"Jury Duty (1995)",449,"Wizard of Oz, The (1939)"
174,"Jury Duty (1995)",586,"Princess Bride, The (1987)"
174,"Jury Duty (1995)",650,"Groundhog Day (1993)"
